Ordered Speaker Choices
Speaker, Choices, Real Picked
1,"playht.wav, real.wav, elevenlabs.mp3, speaker_fixed1.wav, resemble.wav",playht.wav
2,"elevenlabs.mp3, real.wav, speaker_fixed1.wav, playht.wav, resemble.wav",elevenlabs.mp3
3,"speaker_fixed1.wav, elevenlabs.mp3, real.wav, resemble.wav, playht.wav",speaker_fixed1.wav
4,"speaker_fixed1.wav, elevenlabs.mp3, resemble.wav, playht.wav, real.wav",speaker_fixed1.wav
5,"real.wav, resemble.wav, speaker_fixed1.wav, playht.wav, elevenlabs.mp3",real.wav
6,"playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav",playht.wav
7,"elevenlabs.mp3, real.wav, playht.wav, resemble.wav, speaker_fixed1.wav",elevenlabs.mp3
8,"elevenlabs.mp3, resemble.wav, real.wav, speaker_fixed1.wav, playht.wav",elevenlabs.mp3
9,"elevenlabs.mp3, speaker_fixed1.wav, resemble.wav, playht.wav, real.wav",elevenlabs.mp3
10,"real.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav, playht.wav",real.wav
11,"playht.wav, resemble.wav, speaker_fixed1.wav, real.wav, elevenlabs.mp3",playht.wav
12,"real.wav, playht.wav, speaker_fixed1.wav, resemble.wav, elevenlabs.mp3",real.wav
13,"real.wav, elevenlabs.mp3, playht.wav, resemble.wav, speaker_fixed1.wav",real.wav
14,"elevenlabs.mp3, playht.wav, speaker_fixed1.wav, real.wav, resemble.wav",elevenlabs.mp3
15,"elevenlabs.mp3, speaker_fixed1.wav, resemble.wav, real.wav, playht.wav",elevenlabs.mp3
16,"elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav, playht.wav",elevenlabs.mp3

Most Chosen AI Voices
AI Choice,Times Picked
elevenlabs.mp3,7
real.wav,4
playht.wav,3
speaker_fixed1.wav,2
