Ordered Speaker Choices
Speaker,AI Choices,Real Picked
1,"elevenlabs.mp3, speaker_fixed1.wav, real.wav, playht.wav, resemble.wav",elevenlabs.mp3
2,"speaker_fixed1.wav, playht.wav, real.wav, resemble.wav, elevenlabs.mp3",speaker_fixed1.wav
3,"real.wav, resemble.wav, speaker_fixed1.wav, playht.wav, elevenlabs.mp3",real.wav
4,"playht.wav, real.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav",playht.wav
5,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
6,"playht.wav, real.wav, resemble.wav, speaker_fixed1.wav, elevenlabs.mp3",playht.wav
7,"playht.wav, elevenlabs.mp3, resemble.wav, real.wav, speaker_fixed1.wav",playht.wav
8,"elevenlabs.mp3, real.wav, playht.wav, speaker_fixed1.wav, resemble.wav",elevenlabs.mp3
9,"playht.wav, speaker_fixed1.wav, real.wav, elevenlabs.mp3, resemble.wav",playht.wav
10,"playht.wav, real.wav, resemble.wav, elevenlabs.mp3, speaker_fixed1.wav",playht.wav
11,"elevenlabs.mp3, real.wav, resemble.wav, playht.wav, speaker_fixed1.wav",elevenlabs.mp3
12,"playht.wav, elevenlabs.mp3, real.wav, speaker_fixed1.wav, resemble.wav",playht.wav
13,"real.wav, elevenlabs.mp3, playht.wav, speaker_fixed1.wav, resemble.wav",real.wav
14,"elevenlabs.mp3, playht.wav, resemble.wav, real.wav, speaker_fixed1.wav",elevenlabs.mp3
15,"playht.wav, real.wav, elevenlabs.mp3, resemble.wav, speaker_fixed1.wav",playht.wav
16,"real.wav, elevenlabs.mp3, resemble.wav, speaker_fixed1.wav, playht.wav",real.wav


Most Chosen AI Voices
AI Choice,Times Picked
playht.wav,7
elevenlabs.mp3,5
real.wav,3
speaker_fixed1.wav,1
